#filename;path;UPC;CATEGORY;DEPARTMENT;KEYWORDS;dimensions;shrink;price;sales
Alcohol_ao62w;Assets/ModernSupermarket/Models/Props/Products/Alcohol_ao62w4/Alcohol_ao62w.fbx;735060041853;37;none;alcohol;(9.98, 37.53, 10.60);653.9016;37.15;8248.906;
Alcohol_ao62w_Pack01;Assets/ModernSupermarket/Models/Props/Products/Alcohol_ao62w4/Alcohol_ao62w_Pack01.fbx;454846153877;52;none;alcohol;(37.20, 37.53, 24.03);357.93;8.28;4041.451;
Alcohol_ao62w_Var01;Assets/ModernSupermarket/Models/Props/Products/Alcohol_ao62w4/Alcohol_ao62w_Var01.fbx;734083233361;49;none;alcohol;(9.98, 37.53, 10.60);69.9061;13.67;9026.646;
Alcohol_eoojba;Assets/ModernSupermarket/Models/Props/Products/Alcohol_eoojba/Alcohol_eoojba.fbx;728426726765;36;none;alcohol;(11.62, 32.51, 11.62);707.9599;12.08;6172.22;
Alcohol_eoojba_Pack01;Assets/ModernSupermarket/Models/Props/Products/Alcohol_eoojba/Alcohol_eoojba_Pack01.fbx;784544615360;50;none;alcohol;(44.50, 32.51, 29.73);747.3054;10.26;2000.414;
Alcohol_qi7uqv;Assets/ModernSupermarket/Models/Props/Products/Alcohol_qi7uqvr/Alcohol_qi7uqv.fbx;751468338133;76;none;alcohol;(11.48, 24.22, 11.55);496.4929;5.55;8146.329;
Alcohol_qi7uqv_Pack01;Assets/ModernSupermarket/Models/Props/Products/Alcohol_qi7uqvr/Alcohol_qi7uqv_Pack01.fbx;826331085482;72;none;alcohol;(44.73, 24.22, 28.19);140.5;5.77;5670.58;
Alcohol_tqkp8c;Assets/ModernSupermarket/Models/Props/Products/Alcohol_tqkp8c/Alcohol_tqkp8c.fbx;043762074580;36;none;alcohol;(8.56, 24.96, 8.61);994.0553;34.85;9323.208;
Alcohol_tqkp8c_Pack01;Assets/ModernSupermarket/Models/Props/Products/Alcohol_tqkp8c/Alcohol_tqkp8c_Pack01.fbx;724000078218;94;none;alcohol;(32.06, 24.96, 20.65);900.3867;10.9;1829.914;
Bag_s45li3;Assets/ModernSupermarket/Models/Props/Products/Bag_s45li3/Bag_s45li3.fbx;480084888464;25;none;bag;(17.89, 24.33, 9.51);968.613;19.72;9466.441;

Bag_s45li3_Pack01;Assets/ModernSupermarket/Models/Props/Products/Bag_s45li3/Bag_s45li3_Pack01.fbx;054166262310;70;none;bag, coffee;(118.27, 24.83, 31.16);705.709;13.49;8718.208;
Bag_s45li3_Var01;Assets/ModernSupermarket/Models/Props/Products/Bag_s45li3/Bag_s45li3_Var01.fbx;401825784434;68;none;bag;(17.89, 24.33, 9.51);808.8917;4.46;6380.049;
Bag_s45li3_Var02;Assets/ModernSupermarket/Models/Props/Products/Bag_s45li3/Bag_s45li3_Var02.fbx;212086275717;70;none;bag;(17.89, 24.33, 9.51);868.5773;24.93;5933.661;
Beer_lryra7;Assets/ModernSupermarket/Models/Props/Products/Beer_lryra7/Beer_lryra7.fbx;148762545566;75;none;beer;(4.50, 15.24, 4.50);82.9227;15.17;4710.38;
Beer_lryra7_Pack01;Assets/ModernSupermarket/Models/Props/Products/Beer_lryra7/Beer_lryra7_Pack01.fbx;774626026237;66;none;beer;(38.83, 15.24, 16.97);199.7737;4.04;3090.562;
Beer_lryra7_Var01;Assets/ModernSupermarket/Models/Props/Products/Beer_lryra7/Beer_lryra7_Var01.fbx;448106440412;89;none;beer;(4.50, 15.24, 4.50);287.7362;23.66;9328.165;
Beer_lryra7_Var02;Assets/ModernSupermarket/Models/Props/Products/Beer_lryra7/Beer_lryra7_Var02.fbx;048278140587;31;none;beer;(4.50, 15.24, 4.50);495.2254;7.23;3398.047;
BeerKeg_byk96e;Assets/ModernSupermarket/Models/Props/Products/BeerKeg_byk96e/BeerKeg_byk96e.fbx;054016183521;85;none;beerkeg;(21.68, 38.22, 21.68);560.0302;20;9546.044;
BeerKeg_byk96e_Pack01;Assets/ModernSupermarket/Models/Props/Products/BeerKeg_byk96e/BeerKeg_byk96e_Pack01.fbx;472146834580;72;none;beerkeg;(96.48, 38.22, 43.74);978.2084;17.18;6182.659;
BeerKeg_byk96e_Pack02;Assets/ModernSupermarket/Models/Props/Products/BeerKeg_byk96e/BeerKeg_byk96e_Pack02.fbx;487652037584;30;none;beerkeg;(95.34, 38.22, 43.74);34.0501;36.66;4038.016;
BeerKeg_byk96e_Var01;Assets/ModernSupermarket/Models/Props/Products/BeerKeg_byk96e/BeerKeg_byk96e_Var01.fbx;415743762356;62;none;beerkeg;(21.68, 38.22, 21.68);688.6135;39.67;9718.633;
BeerKeg_byk96e_Var02;Assets/ModernSupermarket/Models/Props/Products/BeerKeg_byk96e/BeerKeg_byk96e_Var02.fbx;750883225107;34;none;beerkeg;(21.68, 38.22, 21.68);558.855;29.18;4214.979;
BeerPack_74mugc;Assets/ModernSupermarket/Models/Props/Products/BeerPack_74mugc/BeerPack_74mugc.fbx;613748163766;32;none;beerpack;(15.14, 15.50, 9.40);22.4017;35.77;3954.29;
BeerPack_74mugc_Pack01;Assets/ModernSupermarket/Models/Props/Products/BeerPack_74mugc/BeerPack_74mugc_Pack01.fbx;556505522444;60;none;beerpack;(97.08, 31.11, 23.45);820.1464;33.3;344.6305;
